id,sender_id,message,timestamp
28,2726874224009420,Chữ với số luon hả shop,2020-07-15 04:09:53
29,1584373664975346,LARKTALE CHIT CHAT bn vay b,2020-07-15 04:05:28
30,1508557642569953,"Mẫu này bn ak
https://scontent.xx.fbcdn.net/v/t1.15752-9/108814502_953948938362436_7589606413081912383_n.jpg?_nc_cat=105&_nc_sid=b96e70&_nc_oc=AQlaNpm85LOxpleN_IMH1WUONo6EYI3lQE0TlXhWCjJFm5eHHCAIRGhkHwLoehraN9HSpEQ_1kvNUky-5TakgdHy&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=d1f8fbc2abc963bb09b5f2f7cce6a5f0&oe=5F33CE5E",2020-07-15 03:30:06
30,1508557642569953,Ship sg khoảng bn ak,2020-07-15 03:34:18
31,1303792859725483,"https://scontent.xx.fbcdn.net/v/t1.15752-9/108110731_3380563448640578_1418154036690724440_n.jpg?_nc_cat=111&_nc_sid=b96e70&_nc_oc=AQlXHKna8mUtOaAEG3YF0EbbMWozFvaTetPwVYJspb2EXRqtpxaVzZe87Cg7Ou2HmxMLfAsn-zt3ddu0EHYAjiDM&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=fa30c449e3b194e077e71f3ee73aa149&oe=5F3498AC
Giá bn vậy shop",2020-07-15 02:54:59
31,1303792859725483,"/disagree{""object_type"": null}",2020-07-15 02:57:23
32,2577229715713946,/start_conversation,2020-07-15 02:28:13
32,2577229715713946,"/query_knowledge_base{""object_type"": ""ghe_an"",""brand"": ""mastela""}",2020-07-15 02:28:21
32,2577229715713946,Hi shop,2020-07-15 02:28:25
32,2577229715713946,"Mình cân tim ghế ăn mastela hình con cáo
😋",2020-07-15 02:29:06
32,2577229715713946,Mẫu 1050,2020-07-15 02:30:22
32,2577229715713946,1015,2020-07-15 02:30:37
32,2577229715713946,"Call me
0908731430",2020-07-15 02:31:05
33,1902294569818109,bên mình còn đồ chơi xúc cát cho bé k ạ,2020-07-15 02:29:43
