id,sender_id,message,timestamp
50,4186580641382880,"https://scontent.xx.fbcdn.net/v/t1.15752-9/104398364_272413863811910_5810294025135578564_n.jpg?_nc_cat=110&_nc_sid=b96e70&_nc_ohc=9bB6xIuYsOMAX_wOa0H&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=5f2043b3f7ce62b6478c0b7e46331cc2&oe=5F0D9A56
Này mìn hàng có san k. Ạ",2020-06-17 08:04:04
115,2705623442806274,/restart,2020-05-28 07:38:53
115,2705623442806274,"bạn ơi
cho mình hỏi xe này
có sẵn ở cửa hàng k",2020-05-28 07:39:12
115,2705623442806274,https://scontent.xx.fbcdn.net/v/t1.15752-9/99142295_3352701791443582_8669210333845389312_n.png?_nc_cat=103&_nc_sid=b96e70&_nc_ohc=e33G3W6vX-IAX_zDw7C&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=93885f7bbb2ecddb657d6ca279dac8da&oe=5EF49F10,2020-05-28 07:39:27
137,2930165970343785,"https://scontent.xx.fbcdn.net/v/t1.15752-9/102840894_2762173374055815_7281310371041995085_n.jpg?_nc_cat=104&_nc_sid=b96e70&_nc_ohc=s_K33Rvk3T4AX_MBKMJ&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=6816e996d38d0fd90a869f338890d5df&oe=5F077F44
Shop ơi bên m có sẵn ghế joie stages này k ah",2020-06-10 03:46:47
137,2930165970343785,Màu mình gửi còn k b ơi,2020-06-10 03:49:18
169,4655795327779483,/start_conversation,2020-06-08 06:36:09
169,4655795327779483,"chào bạn
ghế này bạn còn k
https://scontent.xx.fbcdn.net/v/t1.15752-9/101850917_2581078348774230_2019549895028403871_n.png?_nc_cat=101&_nc_sid=b96e70&_nc_ohc=Xe07WCWV9n8AX_yHCJb&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=84d76a4ded603c7980d3ef83fb4da084&oe=5F022802
có hàng sẵn k ạ",2020-06-08 06:36:39
169,4655795327779483,có hàng sẵn ở cửa hàng k ạ?,2020-06-08 06:37:21
283,2945676778878203,/start_conversation,2020-05-28 07:59:48
283,2945676778878203,"/query_knowledge_base{""object_type"": ""ghe_an"",""brand"": ""mastela""}",2020-05-28 07:59:55
283,2945676778878203,https://scontent.xx.fbcdn.net/v/t1.15752-9/101556231_307805703572257_8129533390861893632_n.jpg?_nc_cat=102&_nc_sid=b96e70&_nc_oc=AQnGdTiqOEteotki4qz_8RMP04nBJVXGtdgFpPnpqytAt5sqIFWDFm4TlE6ewYho7nEu5Uaue8vUoPtdJ0Bj_FRc&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=8b928620bf3e973ea2834a619d23fc35&oe=5EF45D53,2020-05-28 08:00:02
283,2945676778878203,Xe nay con k ạ,2020-05-28 08:00:18
283,2945676778878203,"/query_knowledge_base{""url"": ""https://shopee.vn/product/36371562/2348240542"", ""product_id"": ""https://shopee.vn/product/36371562/2348240542""}",2020-05-28 08:00:20
283,2945676778878203,Shop có sẵn k,2020-05-28 08:00:56
283,2945676778878203,Bên mình co hàng sẵn o cua hag k,2020-05-28 08:01:38
308,2348028395222735,"https://scontent.xx.fbcdn.net/v/t1.15752-9/100604342_236042824350416_7110519534796144640_n.jpg?_nc_cat=103&_nc_sid=b96e70&_nc_ohc=lMcvUrY7lVgAX8XXvZD&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=7adbc43f63c2e5282da8c9d9876fc26f&oe=5EF20D1C
bộ này bao nhiêu có sẵn k e",2020-05-26 04:47:14
