id,timestamp,sender_id,message,bot_message,outcome,silent,user_intent,user_timestamp_detail,bot_timestamp_detail,wait_time
27,2020-06-04,2743694878980761,"https://scontent.xx.fbcdn.net/v/t1.15752-9/83170468_285423859166345_2457239223418224640_n.png?_nc_cat=102&_nc_sid=b96e70&_nc_ohc=zW6i7r00fxUAX_g1KDn&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=0381048de6cacf2d2e3f0b04a889ce6b&oe=5F002A92
https://scontent.xx.fbcdn.net/v/t1.15752-9/101532215_376053440036297_6173542466071822336_n.png?_nc_cat=106&_nc_sid=b96e70&_nc_ohc=eBWtyIIaOjMAX_-4jSq&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=1e8d14a0c5ac8b606bae67b1d99fa0cb&oe=5EFEC1D8
ib giá giúp bộ này","Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)", ,0,query_knowledge_base,2020-06-04 07:43:47,2020-06-04 07:43:51,4.0
27,2020-06-04,2743694878980761,"/disagree{""object_type"": null}",Bạn vui lòng mô tả rõ mong muốn của bạn hoặc chat với nhân viên tư vấn nhé!, ,0,disagree,2020-06-04 07:45:12,2020-06-04 07:45:12,0.0
27,2020-06-04,2743694878980761,/connect_employee,bot handover_to_inbox,handover_to_inbox,0,connect_employee,2020-06-04 07:45:20,no_timestamp,no_wait_time
28,2020-06-04,2128429800519389,"https://scontent.xx.fbcdn.net/v/t1.15752-9/101018153_2609377096023113_8322494679354441728_n.jpg?_nc_cat=109&_nc_sid=b96e70&_nc_ohc=MojVfF5S1_IAX_vuRPF&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=1d4ebb4281664ea69dabe4daca29f32e&oe=5EFF658D
kệ này bn ạ","Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)",other,1,query_knowledge_base,2020-06-04 07:19:42,2020-06-04 07:19:46,4.0
29,2020-06-04,4006833302724537,"https://scontent.xx.fbcdn.net/v/t1.15752-9/102448511_686959795459624_3878810498598174720_n.jpg?_nc_cat=105&_nc_sid=b96e70&_nc_ohc=ptozhWv2N2QAX-9-4P6&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=0574c2af423aa9b26905d5c07a9a68bc&oe=5EFC6395
Giá bn b oie","Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)", ,0,query_knowledge_base,2020-06-04 02:40:14,2020-06-04 02:40:17,3.0
29,2020-06-04,4006833302724537,"/query_knowledge_base{""url"": ""https://shopee.vn/product/36371562/4520250642"", ""product_id"": ""https://shopee.vn/product/36371562/4520250642""}","Sản phẩm Đàn piano cổ điển kèm Mic Winfun 2045  hiện shop đang có mức giá: *950,000 VND (giá gốc 1,500,000 VND)*.
", ,0,query_knowledge_base,2020-06-04 02:42:51,2020-06-04 02:42:51,0.0
29,2020-06-04,4006833302724537,Shopee giá 880.000 thì mình mua bên nào b ơi,bot handover_to_inbox,handover_to_inbox,0,handover_to_inbox,2020-06-04 02:43:41,no_timestamp,no_wait_time
30,2020-06-03,2490064664392398,"https://scontent.xx.fbcdn.net/v/t1.15752-9/100850662_333091451004113_5195877187877601280_n.jpg?_nc_cat=100&_nc_sid=b96e70&_nc_ohc=QcmsciTeJ2UAX_4jKT1&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=05962d2591ce00e34cc651b08a9f9100&oe=5EFE3550
Xe arolo này bn ạ","Sản phẩm  Xe chòi chân kiêm xe lắc cao cấp có nhạc Holla  hiện shop đang có mức giá: *790,000 VND (giá gốc 1,200,000 VND)*.
",other,1,query_knowledge_base,2020-06-03 09:26:15,2020-06-03 09:26:17,2.0
31,2020-06-03,1828419810617061,"https://scontent.xx.fbcdn.net/v/t1.15752-9/101699044_288687455507746_5527583254518956032_n.jpg?_nc_cat=107&_nc_sid=b96e70&_nc_ohc=yonnJs2dyx8AX_yJk2g&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=2674332581348c56138986e52fe2b6bd&oe=5EFE70B8
Xe này bnh thế c","Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)", ,0,query_knowledge_base,2020-06-03 09:16:46,2020-06-03 09:16:52,6.0
31,2020-06-03,1828419810617061,"/query_knowledge_base{""url"": ""https://shopee.vn/XE-L%E1%BA%AEC-CAO-C%E1%BA%A4P-HOLLA-i.36371562.4033416922"", ""product_id"": ""https://shopee.vn/XE-L%E1%BA%AEC-CAO-C%E1%BA%A4P-HOLLA-i.36371562.4033416922""}","Dạ, sản phẩm hiện tại bên shop đang tạm hết hàng ạ. Bạn tham khảo các sản phẩm khác dành cho bé nhé!", ,0,query_knowledge_base,2020-06-03 09:17:36,2020-06-03 09:17:36,0.0
