id,timestamp,sender_id,message,bot_message,uc,outcome,silent,user_intent,user_timestamp_detail,bot_timestamp_detail,wait_time
47,2020-06-04,2026301540780894,https://scontent.xx.fbcdn.net/v/t1.15752-9/101390012_1512450448960518_1704680967983071232_n.jpg?_nc_cat=110&_nc_sid=b96e70&_nc_oc=AQklxkjopUzRsfF1H5VFRUsOmcfQCz2PL0naOrOYEodTkuvPTpFmd0GN0F0mk6jhwSRikK4FJ0BZXsb4wYjnP-G4&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=ac7a9b23d5b6bf532f913ab7d94a5fa7&oe=5EFDEE7C,Bạn đang tìm kiếm thông tin gì ạ?,, ,0,send_link,2020-06-04 05:07:27,2020-06-04 05:07:27,0.0
47,2020-06-04,2026301540780894,Bộ cầu trượt c nhed,"Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)",, ,0,query_knowledge_base,2020-06-04 05:08:09,2020-06-04 05:08:13,4.0
47,2020-06-04,2026301540780894,"/query_knowledge_base{""url"": ""https://shopee.vn/product/36371562/6513612615"", ""product_id"": ""https://shopee.vn/product/36371562/6513612615""}","Sản phẩm Cầu trượt xích đu Hola hải cẩu 2020  hiện shop đang có mức giá: *1,982,500 VND (giá gốc 3,250,000 VND)*.
",, ,0,query_knowledge_base,2020-06-04 05:08:52,2020-06-04 05:08:52,0.0
47,2020-06-04,2026301540780894,Shop kia bán rẻ hơn c nhỉ 1050,bot handover_to_inbox,, ,0,handover_to_inbox,2020-06-04 05:09:35,no_timestamp,no_wait_time
48,2020-06-04,1718184264915821,b còn đồ chơi xúc cát k b ơi,"Mình chưa xác định được món đồ bạn hỏi, bạn mô tả rõ hơn giúp mình nhé!",1.1, ,0,query_knowledge_base,2020-06-04 03:14:33,2020-06-04 03:14:34,1.0
48,2020-06-04,1718184264915821,https://scontent.xx.fbcdn.net/v/t1.15752-9/102412959_935421423567955_5618284017393598464_n.jpg?_nc_cat=104&_nc_sid=b96e70&_nc_ohc=06i8lgVlLv0AX-01pKj&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=3f4dfa237dfe4f7be3cce7adf37aa117&oe=5EFD7950,"Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)",, ,0,send_link,2020-06-04 03:14:42,2020-06-04 03:14:47,5.0
48,2020-06-04,1718184264915821,"m có gửi hình ảnh đấy bạn
trước m mua của b 1 lần rồi
giờ m muốn mua thêm",bot handover_to_inbox,, ,0,handover_to_inbox,2020-06-04 03:15:52,no_timestamp,no_wait_time
49,2020-06-03,2196385107097790,"https://scontent.xx.fbcdn.net/v/t1.15752-9/101804576_545427386332902_382866535955300352_n.jpg?_nc_cat=105&_nc_sid=b96e70&_nc_oc=AQm7IlgK1R8daZ9fkGtZc9JX9g9zsz1h3LVa024aNUYhLAYcUnW_rZBibLFpimy-Dia9bLlpk0FHuNr6BZhxnWby&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=f8ff3d03c409ed82aca0040874bacba4&oe=5EFBAF2B
shop còn kệ này k ah","Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)",, ,0,query_knowledge_base,2020-06-03 04:51:52,2020-06-03 04:51:56,4.0
49,2020-06-03,2196385107097790,"/disagree{""object_type"": null}",Bạn vui lòng mô tả rõ mong muốn của bạn hoặc chat với nhân viên tư vấn nhé!,1.2, ,0,disagree,2020-06-03 04:52:36,2020-06-03 04:52:36,0.0
49,2020-06-03,2196385107097790,"https://scontent.xx.fbcdn.net/v/t1.15752-9/101804576_545427386332902_382866535955300352_n.jpg?_nc_cat=105&_nc_sid=b96e70&_nc_oc=AQm7IlgK1R8daZ9fkGtZc9JX9g9zsz1h3LVa024aNUYhLAYcUnW_rZBibLFpimy-Dia9bLlpk0FHuNr6BZhxnWby&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=f8ff3d03c409ed82aca0040874bacba4&oe=5EFBAF2B
đây mà b","Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)",, ,0,query_knowledge_base,2020-06-03 04:52:54,2020-06-03 04:52:56,2.0
49,2020-06-03,2196385107097790,"mạnh nhà shop bị đơ à
hic",bot handover_to_inbox,, ,0,handover_to_inbox,2020-06-03 04:54:31,no_timestamp,no_wait_time
50,2020-06-02,2943168532468545,"https://scontent.xx.fbcdn.net/v/t1.15752-9/96564789_281925776304547_6188056341681012736_n.jpg?_nc_cat=100&_nc_sid=b96e70&_nc_ohc=MRuSUYD4DaIAX_vXlsr&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=95fb4918f595e35b210600277d466e98&oe=5EFC9AAD
Shop có thảm này k ạ","Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)",, ,0,query_knowledge_base,2020-06-02 10:26:03,2020-06-02 10:26:28,25.0
50,2020-06-02,2943168532468545,"/query_knowledge_base{""url"": ""https://shopee.vn/product/36371562/2849771360"", ""product_id"": ""https://shopee.vn/product/36371562/2849771360""}","Dạ, sản phẩm hiện tại bên shop đang tạm hết hàng ạ. Bạn tham khảo các sản phẩm khác dành cho bé nhé!",1.2, ,0,query_knowledge_base,2020-06-02 10:27:09,2020-06-02 10:27:09,0.0
