conversation_id,turn,uc5,uc4,message_id,fb_conversation_id,sender_id,to_sender_id,sender_name,user_message,bot_message,updated_time,created_time,attachments,user_message_clean
3,0,,,m_0CoKzQ_SO03kjUc1-Kjw2XX9LU2xL4K7cjVfl2bknr6z2ooqXezqtOMaQO34lECKa4RKyWkIKKTKugjwKweLNw,t_1399106980234162,1454523434857990,2592183017519039,Shop Gấu & Bí Ngô - Đồ dùng Mẹ & Bé cao cấp,user,"Mẫu NGÔI NHÀ - Quây bóng Toys House gồm 3 size.

. Kích thước 100cm x 132cm x 60cm (gồm 11 cánh và 1 cửa) 
-Gấu & Bí Ngô KM chỉ #990k

. Kích thước 132cm x 132cm x 60cm (gồm 13 cánh và 1 cửa)- Gấu & Bí Ngô KM chỉ #1290k

 Kích thước 132cm x 165cm x 60cm(gồm 15 cánh và 1 cửa ) -Gấu & Bí Ngô KM chỉ #1390k


Ảnh thật đây ạ: https://www.facebook.com/1454523434857990/posts/2191143281195998?sfns=mo

NẾU CÁC MẸ MUỐN FREE SHIP TOÀN QUỐC ĐẶT LINK DƯỚI DÙM MÌNH NHE : 
https://tiki.vn/quay-cao-cap-hinh-ngoi-nha-toys-house-chinh-hang-th319-102b-p48489553.html?src=search&2hi=0&keyword=Qu%C3%A2y+cao+c%E1%BA%A5p+h%C3%ACnh+ng%C3%B4i+nh%C3%A0+Toys+House+CH%C3%8DNH+H%C3%83NG

https://tiki.vn/quay-cao-cap-hinh-ngoi-nha-toys-house-chinh-hang-th319-122b-p48490900.html?src=search&2hi=0&keyword=Qu%C3%A2y+cao+c%E1%BA%A5p+h%C3%ACnh+ng%C3%B4i+nh%C3%A0+Toys+House+CH%C3%8DNH+H%C3%83NG

https://tiki.vn/quay-cao-cap-hinh-ngoi-nha-toys-house-chinh-hang-th319-142b-p48490570.html?src=search&2hi=0&keyword=Qu%C3%A2y+cao+c%E1%BA%A5p+h%C3%ACnh+ng%C3%B4i+nh%C3%A0+Toys+House+CH%C3%8DNH+H%C3%83NG",2020-08-03T01:46:24+0000,2020-08-03T01:46:22+0000,,user
3,0,,,m_3LwSH_fzVCbBnc1Q2Tc4H3X9LU2xL4K7cjVfl2bknr6jfhx2IuyouVMRlCio51c6Xzg-8EdYW5o4nyKBsPBtJg,t_1399106980234162,1454523434857990,2592183017519039,Shop Gấu & Bí Ngô - Đồ dùng Mẹ & Bé cao cấp,user,,2020-08-03T01:46:24+0000,2020-08-03T01:46:24+0000,,user
4,0,,,m_6M1JfFHQ6R4i-sTMyEdiIW3QAJ_GkzhwkOiNmTXN4X9Dyas6rxZG0_Xk1yohROGCDvhP7Y6xgyVeAsJfKZL3Ig,t_2261695110642959,4788964414508827,1454523434857990,Chimi Changa,Get Started,bot,2020-08-03T01:46:54+0000,2020-08-02T07:04:02+0000,,set stảed
4,0,,,m_p8ustYUFqp3dPvbDnJI5TG3QAJ_GkzhwkOiNmTXN4X_fudsAn838_eicNP9XA3YmBSp0i22Huc2Jgb0E2p5quQ,t_2261695110642959,4788964414508827,1454523434857990,Chimi Changa,Shop cho mình hỏi ở shop có bán balo bỉm sữa k,bot,2020-08-03T01:46:54+0000,2020-08-02T07:04:14+0000,,shop cho mình hỏi ở shop có bán balo bỉm sữa không
4,0,,,m_46_048my_plkWitPGVpLbG3QAJ_GkzhwkOiNmTXN4X-mH2kP0a-wrqGsrLhDbx-Tpz_7n72Nj14oZpbW3Sq98A,t_2261695110642959,1454523434857990,4788964414508827,Shop Gấu & Bí Ngô - Đồ dùng Mẹ & Bé cao cấp,user,https://shopee.vn/search?keyword=balo&shop=36371562,2020-08-03T01:46:54+0000,2020-08-03T01:46:53+0000,,user
4,0,,,m_CMEzCNvIEXmHoFjtKOA1e23QAJ_GkzhwkOiNmTXN4X_Nd3D8npIOc0YDrid1o2i-2QluJd2M1Phy1-YB5eICVw,t_2261695110642959,1454523434857990,4788964414508827,Shop Gấu & Bí Ngô - Đồ dùng Mẹ & Bé cao cấp,user,,2020-08-03T01:46:54+0000,2020-08-03T01:46:54+0000,,user
5,0,,,m_M1sufjzRSfjeQNE843wDssmT119p6OF_tZ5B9YynJVUMROqlApXtNWnN6ZxQ-WpTnaddab5HERMV-E5v1cYr9g,t_10155029639583166,1239393129501042,1454523434857990,Maria Vu,Get Started,bot,2020-08-03T01:47:47+0000,2020-08-02T02:25:46+0000,,set stảed
5,0,,,m_0_50X9pT7M7FwPrt9wbg28mT119p6OF_tZ5B9YynJVVBL9hxqBFVhI5kdUAxlcg_KSPHDbxp_GzMMSGWk58nSA,t_10155029639583166,1239393129501042,1454523434857990,Maria Vu,,bot,2020-08-03T01:47:47+0000,2020-08-02T02:25:55+0000,"https://scontent.fhan3-2.fna.fbcdn.net/v/t1.15752-9/116771290_2709624156031220_3499005778638989212_n.jpg?_nc_cat=107&_nc_sid=b96e70&_nc_ohc=CoET8Y6bxxMAX_Mg7sJ&_nc_ht=scontent.fhan3-2.fna&oh=8859a4ae41dde2e9e49167959499a5fe&oe=5F62D1DA, ",
5,0,,,m_v1Z_lb85Rf35csFBYxqhHMmT119p6OF_tZ5B9YynJVU4LriPfs2NOWGLaLPE6i2eg7kqIJaeohTcS4qKKnw3ew,t_10155029639583166,1239393129501042,1454523434857990,Maria Vu,Cho minh xin gi voia hp,bot,2020-08-03T01:47:47+0000,2020-08-02T02:26:01+0000,,cho mình xin gi voia hp
5,0,,,m_WouDWOMs3iAgWSZ2jew198mT119p6OF_tZ5B9YynJVV7ThzEuMt1h5i7CgdavERxXGkvs5tX10ho4BSG39OvuQ,t_10155029639583166,1454523434857990,1239393129501042,Shop Gấu & Bí Ngô - Đồ dùng Mẹ & Bé cao cấp,user,dạ size nhỏ 350k,2020-08-03T01:47:47+0000,2020-08-03T01:47:44+0000,,user
