,id,sender_id,message,bot_message,timestamp,bot_timestamp,user_intent,outcome,silent,prediction
934,346,2751728208202326,"https://scontent.xx.fbcdn.net/v/t1.15752-9/95864684_312712963051670_6082845160645853184_n.jpg?_nc_cat=107&_nc_sid=b96e70&_nc_oc=AQkoIeiK5oF52DB0ExTqHoQYi9r-mgZlLLaujc9GFRTeSeZX_xxG326QNGFFmPwn5SvOjTh1CAltCdWeHmrw51ug&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=ba4313f8ecc67f48728ece745bbb968d&oe=5ED6B031
gia nhiu b","Sản phẩm  Xe chòi chân có bàn đạp cao cấp Motion  hiện shop đang có giá: *448,400 VND (giá gốc 590,000 VND)*.
Bạn tham khảo các sản phẩm sau nhé ạ:",2020-05-06 08:24:40,2020-05-06 08:24:42,query_knowledge_base,other,1.0,
935,347,1638815659494093,/start_conversation,"Chào Thảo Phạm, mình là trợ lý ảo của Shop Gấu & Bí Ngô!
Để hỗ trợ bạn nhanh nhất có thể, vui lòng mô tả ngắn gọn và rõ ràng sản phẩm muốn tìm kiếm nhé!",2020-05-06 08:09:28,2020-05-06 08:09:28,start_conversation,other,1.0,
936,348,2847696661974984,/start_conversation,"Chào Trà Hoàng, mình là trợ lý ảo của Shop Gấu & Bí Ngô!
Để hỗ trợ bạn nhanh nhất có thể, vui lòng mô tả ngắn gọn và rõ ràng sản phẩm muốn tìm kiếm nhé!",2020-05-06 07:59:39,2020-05-06 07:59:39,start_conversation, ,,
937,348,2847696661974984,sh còn ghế ăn dặm mastela nữa k ạ, ,2020-05-06 08:00:06,2020-05-06 08:00:06,query_knowledge_base, ,,
938,348,2847696661974984,sao có nhiều mức giá vậy ạ, ,2020-05-06 08:00:54, ,handover_to_inbox,handover_to_inbox,,
939,349,1896922523746910,"Có đồ chơi j
Cho be 3t k","Mình chưa xác định được món đồ bạn hỏi, bạn mô tả rõ hơn giúp mình nhé!",2020-05-06 07:37:07,2020-05-06 07:37:07,query_knowledge_base, ,,
940,349,1896922523746910,Đồ chơi gì cho bé 3 tuổi, ,2020-05-06 07:37:35, ,query_knowledge_base,other,1.0,
941,350,2166948596708172,"https://scontent.xx.fbcdn.net/v/t1.15752-9/94883353_687912535305780_2340130781109682176_n.jpg?_nc_cat=102&_nc_sid=b96e70&_nc_ohc=bpZP4F3vzkEAX9QNCt1&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=db419b5788e9d1b747104b7b67b5b1c7&oe=5ED96E0B
Shop ơi báo giá em với ạ","Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)",2020-05-06 07:18:36,2020-05-06 07:18:38,query_knowledge_base, ,,uc_2
942,350,2166948596708172,"/disagree{""object_type"": null}",Bạn vui lòng mô tả rõ mong muốn của bạn hoặc chat với nhân viên tư vấn nhé!,2020-05-06 07:19:09,2020-05-06 07:19:09,disagree, ,,
943,350,2166948596708172,/connect_employee, ,2020-05-06 07:19:15, ,connect_employee,other,1.0,
