k,silhouette_score,inertia
2,0.3574455182942799,4187832.2835307335
3,0.4235410383777914,2547746.392889293
4,0.45424121181696453,1682253.4785986994
5,0.4291974557925643,1370856.8978802194
6,0.45253808226537234,1066711.0847131014
7,0.4768941174502582,827479.1782389776
8,0.5024845647403452,666558.801862603
9,0.49608183323096594,572253.6349654583
10,0.5287654563865878,475768.40551278635
11,0.5555037015573218,386077.6912696194
12,0.5509351988258747,308772.547823249
13,0.5549450969884355,255792.27782249657
14,0.5597941361052309,225941.1622768729
15,0.5612306384729179,197330.83699757972
16,0.5555938110697602,170938.95799812317
17,0.5466230934098417,158055.83621302177
18,0.5473288390851457,143265.7785357727
19,0.5416795524876381,131071.7431424937
