sentence,kmeans_cluster,x,y
báo giá,2,34.355743,-20.902542
giá ghế dặm pier,6,-18.067476,24.241692
shop ghế dặm morekiss,6,-19.614916,29.995041
bé 3 đi,9,9.562835,-63.092884
màu cam shop,6,-17.280478,28.76623
1 kiểu,6,-22.677242,25.968767
inbox giá giúp,0,-18.303074,59.620468
gọn,1,-6.630151,-20.58671
xe kiểu,4,-23.320635,-44.457012
giá 2,5,-30.243538,-16.844669
xe kh shop,5,-30.171381,-42.652603
xe rẻ,1,-11.362379,-15.262013
báo shop,1,-0.802786,-28.243093
ok a đo kích thước giường,0,5.159586,55.117168
màu,2,46.725281,1.399052
kệ đồ bé,6,-25.709017,27.296299
đẩy 2 chiều,1,-3.580442,-19.717693
xe đẩy beko đấy sale,8,5.452394,12.91814
860k tập đi,0,-13.91925,51.996876
chân,5,-30.985237,-44.584919
xe đạp 3 bánh trẻ 3,1,4.087195,-14.048626
giá bàn nhạc,6,-21.081373,46.316418
kèm thảm,0,-24.873463,50.47538
giá shop,9,13.305762,-71.078331
hôm,5,-68.818657,-28.518444
địu bé,6,-24.28928,28.837605
mẫu quây,8,10.104779,21.999411
mẫu shop sẵn,8,8.216932,19.513506
sẵn xe đẩy tập đi bé,9,4.195477,-59.962357
mẫu tủ,3,44.701572,27.496805
nồi xanh đi tặng,3,24.75843,48.203728
bé mấy,5,-35.868301,-23.875149
màu shop,4,-24.006413,-59.498692
shop thảm ghép,0,-13.528444,45.779381
mẫu,7,-54.415653,13.727057
xe hình,9,13.36692,-55.943504
shop xe đẩy đôi,4,-16.544481,-52.211174
hôm,5,-70.432236,-29.314638
mẫu,7,-56.045601,18.035036
mua tặng bé 1t,6,-25.715635,42.887535
chu coa xe chòi chân,6,-19.708521,38.049004
giá shop,9,12.505078,-69.571098
quây holla,0,-10.381074,47.6637
kích thước nưã,8,25.054979,1.255913
ghế dặm kia giá sale,6,-22.661362,41.707912
xe đảo 2 chiều hả,8,7.49056,10.163724
thảm,7,-71.265182,3.448799
ship giúp 1 màu xanh,8,-0.216296,15.906763
gấp,3,24.003592,62.21529
bảng ghế hình,3,24.136948,45.550018
giá ghế,7,-40.948792,-5.873021
s xe tròn tập đi bé,5,-21.827415,-19.775433
shop màu xanh,1,-2.772888,-31.818672
báo giá 3,8,17.355124,-5.564729
mẫu,7,-55.797474,17.363873
mẫu,7,-56.060074,18.367245
màu,2,46.013752,-1.83767
xe chòi chân bé 1 5t,4,-24.052586,-50.117191
bóng holla,0,1.344434,54.876392
giá sale,0,9.22109,62.562675
bánh xe khoá shop,1,-3.603667,-17.803596
huỷ đơn ghế dặm xe đẩy beko đen,0,-17.125916,51.213531
ship 1 xe đẩy beko màu đen 1 ghế dặm xong,8,13.53068,-5.093568
báo giá,2,34.646603,-21.651079
báo giá voiw,3,33.861687,37.905651
size to,3,39.414726,40.643764
mua tặng,6,-28.083288,30.766985
size to,3,39.414997,40.644131
báo giá,2,35.130684,-21.999876
hôm,5,-68.818657,-28.518444
đặt xe đẩy vinng,5,-28.072388,-37.258755
inbox giá,0,-19.948013,65.162941
bút màu đi kèm kg,0,14.01969,54.923512
hàng xe nhật,6,-18.135622,42.475883
