k,silhouette_score,inertia
2,0.4118044763314111,4829005.234199713
3,0.39445400110462936,3317686.857815296
4,0.39540972874247116,2426549.5677651996
5,0.40495524650567166,1930024.8481960353
6,0.42408569043396077,1522231.8847997738
7,0.4458299029553329,1183741.5860658009
8,0.4529543840764561,972460.6573055689
9,0.459158494551941,827097.3158949316
10,0.46378397121052595,711124.8718228006
11,0.46011141918266474,624635.5452577015
12,0.45715144512217765,561370.9662361466
13,0.4575556319607151,500329.9429084833
14,0.46988329096535153,441860.0588304803
15,0.4776169585392297,398016.7689350875
16,0.4944920400749863,360804.5513189293
17,0.491030341239527,322136.45541331905
18,0.4798023613326401,296782.82140064606
19,0.49217854687835777,264428.1894587752
