conversation_id,uc5,outcome,uc4,sender_id,user_message,bot_message,created_time
630.0,uc_s5.3,,,2893036220763894.0,"Cửa nhà mình chiều ngang 95 cm, vậy mua thanh chắn cửa + thêm thanh nối 15cm là vừa phải kg bạn? Như thế hết bao nhiêu tiền?","Thanh chắn cửa/ cầu thang an toàn có giá 520K/ thanh Hai Pham nhé

Có thể điều chỉnh chiều ngang từ 74cm tới 83cm (cao 77cm). Nếu thiếu mua thêm thanh nối 12cm giá 140K / thanh nối 36cm giá 280K nhé

Xem chi tiết các kích thước cửa cần lắp tại đây: https://www.facebook.com/1454523434857990/posts/2089132531397074/

Lắp đặt cực đơn giản xem tại đây: 
https://www.facebook.com/watch/?v=2169930109731549",2020-07-29T03:06:05+0000
630.0,,,,1454523434857990.0,,,
630.0,,,,2893036220763894.0,"Cửa nhà mình rộng 95cm, vây là hết 660k đúng kg bạn? Có mất phí ship nữa kg",vâng b ở đâu ạ,2020-07-29T03:15:26+0000
630.0,,,,2893036220763894.0,Mình ớ Mỹ Đình,,2020-07-29T03:25:44+0000
630.0,,shipping_order,,2893036220763894.0,Có mất phí ship kg? Có người đến lắp cho không?,dạ ship 40k ạ,2020-07-29T03:27:07+0000
630.0,,,,1454523434857990.0,,bên mình ko có ng đến lắp r ạ,
